발생년도,가해자,피해자,법규위반
2012,승용차,보행자,안전운전 의무 불이행
2012,승용차,보행자,안전운전 의무 불이행
2012,승용차,보행자,안전운전 의무 불이행
2012,승용차,보행자,안전운전 의무 불이행
2012,화물차,보행자,안전운전 의무 불이행
2012,이륜차,승용차,중앙선침범
2012,화물차,보행자,안전운전 의무 불이행
2012,화물차,보행자,신호위반
2012,이륜차,승용차,중앙선침범
2012,승용차,보행자,안전운전 의무 불이행
2012,승용차,보행자,안전운전 의무 불이행
2012,승용차,화물차,안전운전 의무 불이행
2012,승합차,승용차,신호위반
2012,화물차,보행자,신호위반
2012,승합차,보행자,보행자 보호의무 위반
2012,승용차,승용차,중앙선침범
2012,승용차,보행자,안전운전 의무 불이행
2012,승합차,보행자,안전운전 의무 불이행
2012,승합차,보행자,안전운전 의무 불이행
2012,승용차,보행자,안전운전 의무 불이행
2012,이륜차,승용차,중앙선침범
2012,승용차,보행자,안전운전 의무 불이행
2012,승용차,없음,안전운전 의무 불이행
2012,승용차,보행자,안전운전 의무 불이행
2012,이륜차,없음,안전운전 의무 불이행
2012,승합차,보행자,안전운전 의무 불이행
2012,승합차,보행자,안전운전 의무 불이행
2012,승용차,보행자,안전운전 의무 불이행
2012,승용차,없음,안전운전 의무 불이행
2012,화물차,없음,안전운전 의무 불이행
2012,승용차,보행자,안전운전 의무 불이행
2012,승용차,보행자,안전운전 의무 불이행
2012,이륜차,이륜차,신호위반
2012,승용차,없음,안전운전 의무 불이행
2012,승용차,원동기장치자전거,중앙선침범
2012,승용차,보행자,안전운전 의무 불이행
2012,승용차,보행자,안전운전 의무 불이행
2012,승용차,보행자,안전운전 의무 불이행
2012,승용차,원동기장치자전거,중앙선침범
2012,승용차,보행자,안전운전 의무 불이행
2012,승용차,없음,안전운전 의무 불이행
2012,화물차,보행자,안전운전 의무 불이행
2012,승용차,보행자,안전운전 의무 불이행
2012,승합차,보행자,안전운전 의무 불이행
2012,승합차,보행자,안전운전 의무 불이행
2012,이륜차,보행자,안전운전 의무 불이행
2012,이륜차,승용차,교차로 통행방법 위반
2012,승용차,없음,안전운전 의무 불이행
2012,자전거,화물차,중앙선침범
2012,이륜차,승용차,신호위반
2012,자전거,보행자,안전운전 의무 불이행
2012,화물차,원동기장치자전거,안전운전 의무 불이행
2012,이륜차,승용차,중앙선침범
2012,이륜차,보행자,안전운전 의무 불이행
2012,자전거,보행자,신호위반
2012,이륜차,보행자,안전운전 의무 불이행
2012,이륜차,승용차,안전운전 의무 불이행
2012,승용차,보행자,안전운전 의무 불이행
2012,자전거,승용차,안전운전 의무 불이행
2012,승용차,보행자,안전운전 의무 불이행
2012,승용차,보행자,안전운전 의무 불이행
2012,이륜차,보행자,안전운전 의무 불이행
2012,자전거,화물차,안전운전 의무 불이행
2012,화물차,보행자,안전운전 의무 불이행
2012,승용차,보행자,안전운전 의무 불이행
2012,이륜차,승용차,기타
2012,원동기장치자전거,없음,안전운전 의무 불이행
2012,승용차,보행자,신호위반
2012,승용차,보행자,기타
2012,승용차,보행자,안전운전 의무 불이행
2012,승합차,보행자,안전운전 의무 불이행
2012,화물차,보행자,안전운전 의무 불이행
2012,이륜차,승합차,안전운전 의무 불이행
2012,승용차,보행자,안전운전 의무 불이행
2012,이륜차,없음,안전운전 의무 불이행
2012,승용차,보행자,안전운전 의무 불이행
2012,건설기계,자전거,안전운전 의무 불이행
2012,이륜차,승용차,신호위반
2012,화물차,보행자,안전운전 의무 불이행
2012,승용차,승용차,기타
2012,화물차,보행자,안전운전 의무 불이행
2012,승용차,보행자,안전운전 의무 불이행
2012,승용차,보행자,안전운전 의무 불이행
2012,승용차,보행자,안전운전 의무 불이행
2012,승합차,보행자,안전운전 의무 불이행
2012,화물차,자전거,안전운전 의무 불이행
2012,승용차,보행자,안전운전 의무 불이행
2012,승용차,보행자,안전운전 의무 불이행
2012,승용차,보행자,기타
2012,승합차,보행자,안전운전 의무 불이행
2012,승합차,보행자,신호위반
2012,승용차,보행자,안전운전 의무 불이행
2012,승용차,보행자,안전운전 의무 불이행
2012,승용차,이륜차,안전운전 의무 불이행
2012,승합차,이륜차,안전운전 의무 불이행
2012,이륜차,없음,안전운전 의무 불이행
2012,화물차,보행자,안전운전 의무 불이행
2012,원동기장치자전거,승용차,신호위반
2012,원동기장치자전거,승용차,신호위반
2012,승합차,보행자,안전운전 의무 불이행
2012,승합차,보행자,안전운전 의무 불이행
2012,승합차,보행자,과속
2012,승합차,보행자,안전운전 의무 불이행
2012,이륜차,없음,안전운전 의무 불이행
2012,승용차,없음,안전운전 의무 불이행
2012,이륜차,없음,안전운전 의무 불이행
2012,승용차,보행자,안전운전 의무 불이행
2012,승합차,보행자,안전운전 의무 불이행
2012,승용차,없음,안전운전 의무 불이행
2012,승용차,승합차,신호위반
2012,승용차,보행자,안전운전 의무 불이행
2012,승용차,원동기장치자전거,교차로 통행방법 위반
2012,승용차,보행자,안전운전 의무 불이행
2012,원동기장치자전거,승합차,중앙선침범
2012,승용차,승합차,안전운전 의무 불이행
